0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:36:39 -0500] "GET / HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:36:41 -0500] "GET /tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:36:41 -0500] "GET /tomcat.css HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:36:41 -0500] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:36:41 -0500] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:36:41 -0500] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:36:41 -0500] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:36:41 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 200 7147
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:36:41 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:49:18 -0500] "GET /krakedev/holaMundo.html HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:49:30 -0500] "GET /kreakedev/holaMundo.html HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:52:21 -0500] "GET /kreakedev/2-calculadora/notas HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:53:44 -0500] "GET /kreakedev/2-calculadora/notas.html HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:53:44 -0500] "GET /kreakedev/2-calculadora/notas.css HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:53:44 -0500] "GET /kreakedev/2-calculadora/utilitarios.js HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:53:44 -0500] "GET /kreakedev/2-calculadora/imagenes/logoKrakeDev.png HTTP/1.1" 200 33970
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:53:44 -0500] "GET /kreakedev/2-calculadora/notas.js HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:53:44 -0500] "GET /kreakedev/2-calculadora/imagenes/notas.png HTTP/1.1" 200 17036
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:53:58 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:56:12 -0500] "GET /kreakedev/2-calculadora/notas.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:56:12 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:58:00 -0500] "GET /kreakedev/JUEGO_AHORCADO_V1/ahorcado.html HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:58:00 -0500] "GET /kreakedev/JUEGO_AHORCADO_V1/ahorcado.js HTTP/1.1" 200 3495
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:58:00 -0500] "GET /kreakedev/JUEGO_AHORCADO_V1/ahorcado.css HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:58:00 -0500] "GET /kreakedev/JUEGO_AHORCADO_V1/krakeLogo.png HTTP/1.1" 200 36912
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:58:00 -0500] "GET /kreakedev/JUEGO_AHORCADO_V1/utilitarios.js HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:58:00 -0500] "GET /kreakedev/JUEGO_AHORCADO_V1/fondo.jpg HTTP/1.1" 200 19687
0:0:0:0:0:0:0:1 - - [17/Oct/2025:16:58:25 -0500] "GET /kreakedev/JUEGO_AHORCADO_V1/Ahorcado_01.png HTTP/1.1" 200 46564
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/about.html HTTP/1.1" 200 10311
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/style.css HTTP/1.1" 200 20850
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/responsive.css HTTP/1.1" 200 9204
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/jquery.mCustomScrollbar.min.css HTTP/1.1" 200 42839
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/images/loading.gif HTTP/1.1" 200 35499
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/images/logo.png HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/images/service1.png HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/images/service2.png HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/images/service3.png HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/js/jquery.min.js HTTP/1.1" 200 87088
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/js/bootstrap.bundle.min.js HTTP/1.1" 200 70808
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/js/jquery-3.0.0.min.js HTTP/1.1" 200 11324
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 200 45479
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/js/custom.js HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/animate.min.css HTTP/1.1" 200 53678
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/normalize.css HTTP/1.1" 200 7381
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/icomoon.css HTTP/1.1" 200 28414
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/meanmenu.css HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/owl.carousel.min.css HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/swiper.min.css HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/slick.css HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [17/Oct/2025:17:17:03 -0500] "GET /kreakedev/limon/css/jquery.fancybox.min.css HTTP/1.1" 200 14143
